Author,Title,Source,URL,Category,Description,Published Status
"Singh S, Khera D, Chugh A, et al",Efficacy and Safety of Tocilizumab in the Treatment of SARS-CoV-2: A Systematic Review and Meta-analysis,Research Square,https://www.researchsquare.com/article/rs-59511/v1,,To evaluate the efficacy and safety of Tocilizumab in comparison to standard therapy in the treatment of COVID-19 in adult patients.,preprint
"Kotwal A, Yadav A, Kotwal J",Predictive models of COVID-19 in India: a rapid review ,Med J Armed Forces India,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298493/,,To assess correlation between predicted and actual values of cases in India.,published
"Xie Y, Wang Z, Liao H, et al.","Epidemiologic, Clinical, and Laboratory Findings of the COVID-19 in the current pandemic: Systematic Review and Meta-analysis",Research Square,https://www.researchsquare.com/article/rs-28367/v3,,"To summarize the epidemiologic traits, clinical spectrum, CT results and laboratory findings of the COVID-19 pandemic.",preprint
"Mendonca K, Jacome A, Silva B, Patino C, et al",Barriers and facilitators to populational adherence to prevention and control measures of COVID-19 and other respiratory infectious diseases: a rapid qualitative evidence synthesis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205750,,,development
"Bayona HH, Cabaluna IT, Dans L, et al ",Diagnostic accuracy of rapid antigen tests for COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205693,,,development
"Batra K, Batra R, Sharma M, et al ",Investigating the Psychological Impact of COVID-19 Pandemic on Healthcare Workers: An Updated Systematic Review and Meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205824,,,development
"Zhou Q, Ye S",Network meta-analysis of anti-cytokine storm drugs or therapy for COVID-19,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203470,,,development
"Kizhakekara RN, Uahwatanasakul W, Russell F, et al","Predictors of severe disease or poor acute outcomes in neonates, children, and adolescents with COVID-19",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205791,,,development
"O'Sullivan L, Killeen RP, Doran P, et al.",Ethical Considerations for safeguarding human participants in pandemic research: a rapid review protocol,HRB Open Research,https://hrbopenresearch.org/articles/3-22/v2,,,development
"Aucoin M, Cooley K, Saunders PR, et al.",The effect of quercetin on the prevention or treatment of COVID-19 and other respiratory tract infections in humans: A rapid review,Adv Integr Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7392107/,Candidate Therapeutics,To review the role of quercetin in the treatment and recovery of COVID-19 and other respiratory tract infections.,published
"Schloss J, Lauche R, Harnett J, et al.",Efficacy and safety of vitamin C in the management of acute respiratory infection and disease: A rapid review,Adv Integr Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7393036/,Candidate Therapeutics,To review the evidence on the effect of Vitamin C on acute respiratory tract infections in adults when administered at the onset of symptoms.,published
"Aucoin M, Cooley K, Saunders PR, et al.",The effect of Echinacea spp. on the prevention or treatment of COVID-19 and other respiratory tract infections in humans: A rapid review,Adv Integr Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7395221/,Candidate Therapeutics,To review the role of Echinacea in the prevention and treatment of COVID-19 and other respiratory tract infections.,published
"McGarrigle L, Boulton E, Todd C",Map the Apps: a rapid review of digital approaches to support the engagement of older adults in strength and balance exercises,Research Square,https://www.researchsquare.com/article/rs-63743/v1,,To identify and evaluate existing apps and websites to support independent engagement in strength and balance exercises by older people.,preprint
,Medium- and long-term health sequelae of COVID-19,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0005/600458/20200826-Evidence-check-long-term-sequelae-of-Covid-19.pdf,,To review the evidence on the medium- and long-term health sequelae of COVID-19 infection among survivors.,published
"Azhir A, Azhir A, Clvi MM, et al ","Systematic literature review and network meta-analysis regarding safety, tolerability, and immunogenicity of covid-19 vaccines",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204881,,,development
"Zheng J, Yan Z, Bi Q, et al ",Viral load and serum IgG antibody levels correlated with disease severity and outcome in COVID-19 patients: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204595,,,development
"Nieto I, Navas JF, Vazquez C",The quality of research on mental health related to the COVID-19 pandemic: A note of caution after a systematic review,Brain Behav Immun Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7395946/,,To examine compliance with basic methodological quality criteria and open scientific research practices on the mental health effects of the COVID-19 pandemic.,published
"Said M, Ngo V, Hwang J, et al.",Navigating telemedicine for facial trauma during the COVID-19 pandemic,Laryngoscope Investig Otolaryngol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7362048/,Infection Control,To review applications of telemedicine for the evaluation of facial trauma to better direct utilization of these methods and technologies during times of limited access to clinical resources such as the COVID?19 pandemic.,published
"Correia AO, Feitosa PWG, Moreira JLS, et al.",Neurological manifestations of COVID-19 and other coronaviruses: A systematic review,Neurol Psychiatry Brain Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7261450/,Clinical Characteristics,To describe the main neurological manifestations related to coronavirus infection in humans.,published
D'Ambrosi R,Orthopedics and COVID-19: Scientific Publications Rush,Indian J Orthop,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7247286/,Clinical Characteristics,To analyze all the articles related to COVID-19 and orthopedics and to shed light on the scientific evidence that has actually been found.,published
"Bansal A, Prasad JB",Liver profile in COVID-19: a meta-analysis,Z Gesundh Wiss,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7241286/,Clinical Characteristics,To quantify the overall risk of liver damage in COVID-19 patients and also find the overall variation in risk outcome.,published
"Frediansyah A, Nainu F, Dhama K, et al.",Remdesivir and its antiviral activity against COVID-19: A systematic review,Clin Epidemiol Glob Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7410793/,Candidate Therapeutics,"To summarize the antiviral activities of remdesivir against SARS-CoV-2, the causative agent of COVID-19.",published
"Kaur N, Gupta I, Singh H, et al.",Epidemiological and Clinical Characteristics of 6635 COVID-19 Patients: a Pooled Analysis,SN Compr Clin Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7343407/,Clinical Characteristics,To evaluate the epidemiological and clinical characteristics of COVID-19 patients while also highlighting the comorbidities and radiological findings.,published
"Siordia JA, Bernaba M, Yoshino K, et al.",Systematic and Statistical Review of Coronavirus Disease 19 Treatment Trials,SN Compr Clin Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7361001/,Candidate Therapeutics,To compile the current data regarding human controlled COVID-19 treatment trials.,published
"Leeson CE, Ismail A, Hashad MM, et al.",Systematic Review: Safety of Intravesical Therapy for Bladder Cancer in the Era of COVID-19,SN Compr Clin Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7433676/,Candidate Therapeutics,To review and summarize what is known about COVID-19 and the current implications of intravesical BCG with regard to the disease.,published
"Zou F, Qian Z, Wang Y, et al.",Cardiac Injury and COVID-19: A Systematic Review and Meta-Analysis,CJC Open,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7308771/,Clinical Characteristics,"To conduct a comprehensive review and meta-analysis of the incidence, comorbidities, outcomes and possible mechanisms of acute cardiac injury in COVID-19 patients.",published
"Davis B, Rothrock AN, Swetland S, et al.",Viral and atypical respiratory co-infections in COVID-19: a systematic review and meta-analysis,J Am Coll Emerg Physicians Open,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7323310/,Clinical Characteristics,To analyze the prevalence of respiratory pathogens (viruses and atypical bacteria) in COVID?19 patients.,published
"Abu-Rumeileh S, Abdelhak A, Foschi M, et al.",Guillain-Barré syndrome spectrum associated with COVID-19: an up-to-date systematic review of 73 cases,J Neurol,https://pubmed.ncbi.nlm.nih.gov/32840686/,Clinical Characteristics,"To provide a comprehensive and updated overview of all case reports and series of COVID-19-related GBS to identify predominant clinical, laboratory, and neurophysiological patterns and to discuss the possible underlying pathophysiology.",published
"Kumar N, Janmohamed K, Nyhan K, et al.",Sexual Health and COVID-19: Protocol for a Living Scoping Review,Research Square,https://www.researchsquare.com/article/rs-59514/v1,,,development
"Rai B, Shukla A, Dwivedi LK",Estimates of serial interval for COVID-19: A systematic review and meta-analysis,Clin Epidemiol Glob Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7448781/,Infection Control,To review the qualitative and quantitative synthesis of the currently available evidence for the serial interval of COVID-19.,published
"Hariyanto TI, Kurniawan A",Statin therapy did not improve the in-hospital outcome of coronavirus disease 2019 (COVID-19) infection,Diabetes Metab Syndr,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7448951/,Candidate Therapeutics,To analyze the association between statin use and in-hospital outcomes of COVID-19 infection.,published
"Dinnes J, Deeks JJ, Adriano A et al.","Rapid, point-of-care antigen and molecular-based tests for diagnosis of SARS-CoV-2 infection",Cochrane Database Syst Rev,https://www.ncbi.nlm.nih.gov/pubmed/32845525,Diagnostics,To assess the diagnostic accuracy of point-of-care antigen and molecular-based tests to determine if a person presenting in the community or in primary or secondary care has current SARS-CoV-2 infection,published
"Kunutsor SK, Laukkanen JA",Incidence of venous and arterial thromboembolic complications in COVID-19: A systematic review and meta-analysis,Thromb Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418701/,Clinical Characteristics,To review the evidence on the thromboembolic complications associated with COVID-19 and the incidence of severe disease.,published
"Chirico F, Sacco A, Bragazzi NL, et al.",Can Air-Conditioning Systems Contribute to the Spread of SARS/MERS/COVID-19 Infection? Insights from a Rapid Review of the Literature,Int J Environ Res Public Health,https://www.mdpi.com/1660-4601/17/17/6052/htm,Infection Control,To evaluate the COVID-19 risk associated with the presence of air-conditioning systems.,published
"Bhamani S, Tabani A, Ahmed S, et al",A rapid systematic review on COVID transmission trends in children on schools reopening in lower middle income countries,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204925,,,development
"Karsenti N, Elsayed S",Guidelines and policies for the ethical allocation of limited healthcare resources during COVID-19: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204782,,,development
"Booth G, Williams D, Patel H, et al ",What is the content of virtually delivered pain management programmes for people with persistent musculoskeletal pain? A systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=201593,,,development
"van Doorn AS, Meijer B, Frampton CMA, et al.",Systematic review with meta-analysis: SARS-CoV-2 stool testing and the potential for faecal-oral transmission,Aliment Pharmacol Ther,https://pubmed.ncbi.nlm.nih.gov/32852082/,Diagnostics,To critically assess the clinical relevance of testing stool samples and anal swabs and provide an overview of the potential faecal-oral transmission of SARS-CoV-2.,published
"Baral R, White M, Vassiliou VS","Effect of Renin-Angiotensin-Aldosterone System Inhibitors in Patients with COVID-19: a Systematic Review and Meta-analysis of 28,872 Patients",Curr Atheroscler Rep,https://link.springer.com/article/10.1007/s11883-020-00880-6,Candidate Therapeutics,To review the evidence on the impact RAAS inhibitor use has in antihypertensive COVID-19 hospitalised patients.,published
"Simadibrata DM, Pandhita BAW, Ananta ME, et al.","Platelet-to-lymphocyte ratio (PLR), a novel biomarker to predict the severity of COVID-19 patients: a systematic review and meta-analysis",medRxiv,https://www.medrxiv.org/content/10.1101/2020.08.21.20166355v1,,To evaluate the association between PLR levels on admission and the severity of COVID-19 patients. ,preprint
"Krishnamoorthy Y, Nagarajan R, Saya GK, et al.","Prevalence of psychological morbidities among general population, healthcare workers and COVID-19 patients amidst the COVID-19 pandemic: A systematic review and meta-analysis",Psychiatry Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417292/,Mental Health,"To quantify the prevalence of various psychological morbidities among general population, healthcare workers and COVID-19 patients amidst the COVID-19 pandemic.",published
"Liang M, Tan S","A systematic review and meta-analysis of prognosis in HIV patients who are co-infected with COVID-19, MERS, or SARS",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204981,,,development
"Huang R, Xie L, He J, et al ",Association between the peripheral blood eosinophil counts and COVID-19: a meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205497,,,development
"Siegel A, Zuo Y, Moghaddamcharkari",Barriers to telepsychiatry during COVID-19: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203272,,,development
"Liu D, Tian Q, Cao M, et al ","Mapping risk factors for COVID-19: An umbrella review of evidence from observational studies, and Mendelian randomization studies",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205289,,,development
"Orimadegun A, Orimadegun B, Adepoju A",Systematic review and meta-analysis of prevalence and risk factors for dyslipidaemia in COVID-19 patients,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205615,,,development
"Puli S, Baig M, Walayat S",Gastrointestinal Symptoms and Elevation in Liver Enzymes in COVID-19 Infection: A Systematic Review and Meta-Analysis,Cureus,https://www.cureus.com/articles/38778-gastrointestinal-symptoms-and-elevation-in-liver-enzymes-in-covid-19-infection-a-systematic-review-and-meta-analysis,Clinical Characteristics,To assess gastrointestinal symptoms and liver enzymes trend in corona virus infection.,published
Patanavanich R & Glantz SA,Smoking is associated with COVID-19 progression: A meta-analysis,Nicotine & Tobacco Research,https://pubmed.ncbi.nlm.nih.gov/32399563/,Clinical Characteristics,To review the evidence on the association between smoking and progression of the infectious disease COVID-19.,published
"Starke KR, Petereit-Haack G, Schubert M, et al.","The Age-Related Risk of Severe Outcomes Due to COVID-19 Infection: A Rapid Review, Meta-Analysis, and Meta-Regression",Int J Environ Res Public Health,https://www.mdpi.com/1660-4601/17/16/5974/htm,Clinical Characteristics,To quantify the isolated effect of age on severe COVID-19 outcomes,published
"Murphy RP, Dennehy KA, Costello MM, et al.",Virtual Geriatric Clinics and the COVID-19 Catalyst: A Rapid Review,Age Ageing,https://pubmed.ncbi.nlm.nih.gov/32821909/,Infection Control,"To describe the satisfaction, clinic productivity, clinical benefit, satisfaction and costs associated with the virtual geriatric clinic model of care.",published
"Jovic TH, Ali SR, Ibrahim N, et al.",Could vitamins help in the fight against COVID-19?,Nutrients,https://pubmed.ncbi.nlm.nih.gov/32842513/,Candidate Therapeutics,To investigate whether vitamin supplementation is beneficial in COVID-19.,published
"Vieira LG, Camargo LJS, Schneider G, et al.",Repercussions of the COVID-19 pandemic on the mental health of pregnant and puerperal women: A systematic review,medRxiv,https://www.medrxiv.org/content/10.1101/2020.08.17.20176560v1,,To synthesize the scientific evidence on the repercussions of the COVID-19 pandemic on the mental health of pregnant and puerperal women.,preprint
"Bayona HHG, Cabaluna ITG, Dans AP, et al.",Should rapid antigen tests be used as a screening tool for COVID-19,Asia Pacific Center for Evidence Based Healthcare,https://www.psmid.org/should-rapid-antigen-tests-be-used-as-a-screening-tool-for-covid-19/,,To summarize the available evidence on the diagnostic accurancy of rapid antigen tests for COVID-19.,published
"Turan O, Hakim A, Dashraath P, et al.","Clinical characteristics, prognostic factors, and maternal and neonatal outcomes of SARS-CoV-2 infection among hospitalized pregnant women: a systematic review",Int J Gynaecol Obstet,https://pubmed.ncbi.nlm.nih.gov/32816307/,Clinical Characteristics,To summarize clinical characteristics and outcomes among pregnant women hospitalized with COVID-19.,published
"Deshmukh V, Motwani R, Kumar A, et al.",Histopathological observations in COVID-19: a systematic review,J Clin Pathol,https://pubmed.ncbi.nlm.nih.gov/32817204/,Clinical Characteristics,To review and summarise the latest histopathological changes in different organs observed after autopsy of COVID-19 cases.,published
"Karlsen APH, Wiberg S, Laigaard J, et al.",A systematic review of trial registry entries for randomized clinical trials investigating COVID-19 medical prevention and treatment,PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237903,Candidate Therapeutics,To provide a global snapshot overview of interventions and main methodological aspects of planned and initiated randomised clinical trials on COVID-19 prevention and treatment. ,published
"Su Z, Wagers S",Interventions for domestic violence victims during pandemics and disasters: a systematic review of literature,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205399,,,development
"Makram OM, Elfert M, Kouz B, et al ",Prevalence of side effects of favipiravir used in humans. A systematic review and meta-analysis of published observational studies and clinical trials,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203830,,,development
"Milanese S, Swaminathan N, Shah P, et al ",The effectiveness of population screening as an alternative to long term isolation for the population during Covid-19 - a rapid review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205274,,,development
"Lago da Silva R, dos Santos Souza AT, da Silva Lopes T",The use of mechanical ventilation in COVID-19: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=202050,,,development
"Farooqi A, Gillies C, Khunti K",A systematic review and meta-analysis to compare the prevalence of mental health conditions before and during the COVID-19 pandemic,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205375,,,development
"Lagos da Silva R, de Morais Gouveia GP, Cunha SV",Analysis of respiratory complications caused by coronavirus (COVID-19): a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=183828,,,development
"Arantes do Amaral MS, Mendes KDS, Hyppolitp MA",Audiological and vestibular changes in COVID-19: a systematic review of the literature,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204824,,,development
"Pranata R, Huang I, Raharjo SB",Incidence and impact of cardiac arrhythmias in coronavirus disease 2019 (COVID-19): A systematic review and meta-analysi,Indian Pacing Electrophysiol J,https://www.sciencedirect.com/science/article/pii/S0972629220300875,Clinical Characteristics,To evaluate the incidence of cardiac arrhythmias in patients with COVID-19 and their implications on patient prognosis.,published
"Talaie H, Hosseini SM, Nazari M, et al.",Is there any potential management against COVID-19? A systematic review and meta-analysis,Daru,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7434334/,Candidate Therapeutics,To synthesize the results of well-done observational studies and clinical trials to estimate the value of some clinical managements to confront COVID-19.,published
"Khalili MA, Leisegang K, Majzoub A, et al.",Male Fertility and the COVID-19 Pandemic: Systematic Review of the Literature,World J Mens Health,https://wjmh.org/DOIx.php?id=10.5534/wjmh.200134,Clinical Characteristics,"To investigate the current evidence of SARS-CoV-2 impact on male reproduction and pregnancy outcomes, discussing them in light of the evidence published on other coronaviruses.",published
"Abdel-Maboud M, Menshawy A, Elgebaly A, et al.",Should we consider heparin prophylaxis in COVID-19 patients? a systematic review and meta-analysis,J Thromb Thrombolysis,https://pubmed.ncbi.nlm.nih.gov/32816197/,Candidate Therapeutics,To investigate whether prophylactic heparin use is associated with reduction in thromboembolic events. ,published
"Shang L, Shao M, Guo Q, et al.",Diabetes Mellitus is Associated with Severe Infection and Mortality in Patients with COVID-19: A Systematic Review and Meta-analysis,Arch Med Res,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7413048/,Clinical Characteristics,To assess whether diabetes mellitus (DM) would increase the risk of severe infection and death in patients with COVID-19.,published
"Lechien JR, Radulesco T, Calvo-Henriquez C, et al.",ACE2 & TMPRSS2 Expressions in Head & Neck Tissues: A Systematic Review,Head Neck Pathol,https://pubmed.ncbi.nlm.nih.gov/32816230/,,To review the data regarding the expression of angiotensin converting enzyme-2 (ACE2) and transmembrane protease serine-2 (TMPRSS2) in head and neck tissue.,published
,Evidence summary for face mask use by healthy people in the community,"Health Information and Quality Authority, Ireland",https://www.hiqa.ie/sites/default/files/2020-08/Evidence-summary-face-masks-in-the-community.pdf,,To review the evidence on the routine wearing of face masks by healthy persons in the community in reducing the transmission of respiratory pathogens.,published
"Taneri PE, Ochoa S, Llanaj E, et al.",Anemia and iron metabolism in COVID-19: A systematic review and meta-analysis,Eur J Epidemiol,https://link.springer.com/article/10.1007/s10654-020-00678-5,Clinical Characteristics,"To evaluate biomarkers of anemia and iron metabolism (hemoglobin, ferritin, transferrin, soluble transferrin receptor, hepcidin, haptoglobin, unsaturated iron-binding capacity, erythropoietin, free erythrocyte protoporphyrine, and prevalence of anemia) in patients diagnosed with COVID-19, and explore their prognostic value. ",published
"Jafari A, Falahatkar S, YektaKooshali MH","COVID-19 Clinical Characteristics, Complications and Comorbidity: An Updated Systemic Review and Meta-Analysis",SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3631253,,To summarize and analyze the clinical characteristics of COVID-19.,preprint
"Anieto EM, Ogdobo V, Nwadilibe IB, et al ","Effect of Physical Activity/Exercise Interventions on Immune Parameters, and Inflammatory Markers for Proxy Conditions Among Adults Prone to COVID-19: A Systematic Review Protocol",Research Square,https://www.researchsquare.com/article/rs-60112/v1,,,development
"Bhamani S, Sajid I, Makhdoom A, et al ",A rapid systematic review on COVID ICU outcomes and evidence gaps in lower middle income countries (LMICs),PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203906,,,development
"Su Z, Bently B, Shi F",Artificial Intelligence-based disease surveillance amid COVID-19 and beyond: a systematic review of literature,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204992,,,development
"Costa E, Rossi T, Santos M",Covid-19 and the gradual return to dental care: measures adopted by different countries,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204515,,,development
"Okullo A, Katairo T, Nalugoda F, et al ",Effectiveness of wearing face masks as a public health intervention to prevent Covid-19 infection in low-and-middle income countries: a rapid evidence synthesis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205136,,,development
"Flodgren G, Bruberg K ","Human coronavirus (HCoV): prevalence, immune responses, and cross-protection in relation to SARS CoV-2. a rapid review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=202574,,,development
"Misra S, Nath M, Hadda V, et al.",Efficacy of various treatment modalities for nCOV-2019: a systematic review and meta-analysis,Eur J Clin Invest,https://pubmed.ncbi.nlm.nih.gov/32810285/,Candidate Therapeutics,To assess the efficacy of various treatment modalities in nCOV-2019 patients.,published
"Mahumud RA, Kamara JK, Renzaho AMN","The epidemiological burden of and overall distribution of chronic comorbidities in coronavirus disease-2019 among 202,005 infected patients: evidence from a systematic review and meta-analysis",Infection,https://pubmed.ncbi.nlm.nih.gov/32813220/,Clinical Characteristics,To examine the overall distribution of chronic comorbidities in coronavirus disease-19 (COVID-19) infected populations and the risk of the underlying burden of disease in terms of the case fatality ratio (CFR).,published
"Lim ZJ, Afroz A, Reddy M, et al ",Systematic review of COVID-19 patients with takotsubo cardiomyopathy,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204841,,,development
"Dai M, Li X, Zhang Q",The control and prevention of COVID-19 transmission in asymptomatic carriers: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203773,,,development
"Chatterji M, Kitamura K, Muenig P, et al ",The relative effectiveness of multilevel interventions in reducing risks of transmission of lethal viruses in Grade K-12 school communities and school linked populations: a systematic review and best-evidence synthesis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=201930,,,development
,Rapid Review of COVID-19 hospitalizations and length of stay ,Public Health Agency of Canada,https://www.nccmt.ca/covid-19/covid-19-evidence-reviews/198,,Not provided,published
"Chtourou H, Trabelsi K, H'Mida C, et al.",Staying Physically Active During the Quarantine and Self-Isolation Period for Controlling and Mitigating the COVID-19 Pandemic: A Systematic Overview of the Literature,Front Psychol ,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01708/full,Mental Health,"To summarize the existing literature regarding the effect of quarantine and social distancing on psychology and well-being, while providing possible practical recommendations for being more physically active during isolation periods.",published
"Klugar M, Riad A, Klugarova J, et al ",COVID-19-related oral symptoms: protocol for a rapid review ,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=203942,,,development
"Roshdy A, Saleh AS, Elsayed AS",Echocardiography findings in COVID-19: a systematic review ,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204920,,,development
"Khan DS, Lassi Z, Das J, et al ",Pregnancy and perinatal outcomes among COVID-19-infected pregnant women with or without clinical symptoms of coronavirus: a systematic review and meta-analysis ,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=204662,,,development
"Munhoz I, Lacerda A, Rocha TJM",The effectiveness and safety of differenc antithelmintic/antimalarial drugs in the treatment of COVID-19: systematic review and meta-analysis of evidence from randomized clinical trials and observational studies ,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205101,,,development
"Mishra P, Parveen R, Agarwal NB, et al ",The prevalence of vitamin D deficiency and its association with gender and comorbidities in patients with COVID-19 infection: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=205150,,,development
"Selman L, Lapwood S, Jones N, et al.",Advance care planning in the community in the context of COVID-19,Oxford COVID-19 Evidence Service,https://www.cebm.net/covid-19/advance-care-planning-in-the-community-in-the-context-of-covid-19/,,To review the evidence on advance care planning in community settings during the COVID-19 pandemic.,published
,Surgical masks and oxygen therapy,NSW Health COVID-19 Critical Intelligence Unit,https://www.aci.health.nsw.gov.au/__data/assets/pdf_file/0011/599060/20200819-Evidence-Check-Masks-Oxygen.pdf,,To review the evidence on the effectiveness of wearing a surgical mask at the same time as an oxygen mask.,published
"Birkeland K, Zimmer R, Kimchi A, et al.",Venous Thromboembolism in Hospitalized COVID-19 Patients: A Systematic Review,Interact J Med Res,https://pubmed.ncbi.nlm.nih.gov/32805702/,Clinical Characteristics,To estimate VTE incidence in hospitalized patients and to analyze characteristic factors in the VTE cohort.,published
"Xiong J, Lipsitz O, Nasri F, et al.",Impact of COVID-19 pandemic on mental health in the general population: A systematic review,J Affect Disord,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7413844/,Mental Health,To synthesize extant literature that reports on the effects of COVID-19 on psychological outcomes of the general population and its associated risk factors.,published
"Luo X, Ni X, Lin J, et al.",The add-on effect of Chinese herbal medicine on COVID-19: A systematic review and meta-analysis,Phytomedicine,https://pubmed.ncbi.nlm.nih.gov/32800699/,Candidate Therapeutics,To investigate the efficacy and safety of CHM or CHM combination therapy for COVID-19.,published
"Ortolan A, Lorenzin M, Felicetti M, et al.",Does gender influence clinical expression and disease outcomes in COVID-19? A systematic review and meta-analysis,Int J Infect Dis,https://www.sciencedirect.com/science/article/pii/S120197122030607X?via%3Dihub,Clinical Characteristics,"To analyse the influence of gender on COVID-19 mortality, severity and disease outcomes. ",published
"McAloon C, Collins A, Barber A, et al.",Incubation period of COVID-19: a rapid systematic review and meta-analysis of observational research,BMJ Open,https://bmjopen.bmj.com/content/10/8/e039652,Clinical Characteristics,To conduct a rapid systematic review and meta-analysis of estimates of the incubation period of COVID-19.,published
"Lian R, Gao Y, Zhang R, et al.",Characteristics of registered systematic reviews on traditional Chinese medicine for COVID-19,Research Square,https://www.researchsquare.com/article/rs-58083/v1,,"To analyze research collaboration, interventions, and outcomes in registered SRs of TCM associated with COVID-19.",preprint
Topfer L,Technologies to Address the Negative Effects of Social Isolation for Older Adults Living in Long-Term Care  ,CADTH,https://covid.cadth.ca/mental-health/technologies-to-address-the-negative-effects-of-social-isolation-for-older-adults-living-in-long-term-care/,,To identify a list of potential technologies that may be used to address the negative effects of social isolation on older adults living in long-term care.,published
"Kumar D, Spry C",Face Shields in Pre-hospital Settings: Clinical Effectiveness and Guidelines ,CADTH,https://cadth.ca/sites/default/files/covid-19/RB1518%20Face%20shield%20prehospital%20Final.pdf,,To review the evidence on the effectiveness of face shields at preventing SARS-CoV-2 virus transmission.,published
"Remillard L, Perras C, Pant S, et al.",Chloroquine or Hydroxychloroquine to Prevent or Treat COVID-19,CADTH,https://covid.cadth.ca/treatment/chloroquine-or-hydroxychloroquine-to-prevent-or-treat-covid-19/,,To review the current scientific evidence on the potential benefits and harms of chloroquine and hydroxychloroquine for the prevention or treatment of COVID-19. ,published
